year,onset_dekad,sond_total_mm,max_dry_run,sond_tmax_mean,pre_jul_aug_mm,mam_total_mm,prev_sond_total
1981,25,323.1,1,22.93,51.6,419.0,
1982,26,428.7,1,22.82,25.5,357.4,323.1
1983,25,384.2,1,22.6,58.8,328.1,428.7
1984,28,366.6,1,22.86,78.2,290.1,384.2
1985,25,400.0,0,22.72,7.9,376.0,366.6
1986,25,401.5,1,22.95,7.1,348.9,400.0
1987,26,443.1,1,24.12,43.1,384.5,401.5
1988,26,408.0,1,23.46,151.7,409.0,443.1
1989,25,390.9,1,23.39,60.1,333.6,408.0
1990,25,434.2,1,23.17,30.7,362.6,390.9
1991,25,376.1,1,23.54,15.9,395.0,434.2
1992,25,433.1,1,22.51,7.2,335.7,376.1
1993,30,302.3,5,23.52,54.5,367.2,433.1
1994,25,402.9,0,22.82,35.9,331.4,302.3
1995,25,384.7,0,22.9,0.3,325.6,402.9
1996,25,387.9,0,23.29,42.2,315.9,384.7
1997,25,398.2,1,23.41,21.2,367.3,387.9
1998,25,373.3,1,23.14,27.0,397.1,398.2
1999,25,386.5,0,23.16,57.2,318.2,373.3
2000,25,415.8,1,24.41,20.2,328.3,386.5
2001,25,411.9,0,22.62,52.0,303.7,415.8
2002,26,371.6,1,23.87,19.1,357.7,411.9
2003,25,375.4,1,23.59,44.4,344.6,371.6
2004,25,375.2,1,24.44,23.1,353.3,375.4
2005,25,380.7,1,25.29,62.0,374.1,375.2
2006,26,374.8,1,23.83,62.6,372.2,380.7
2007,25,375.2,0,24.59,70.7,326.9,374.8
2008,26,366.0,0,24.93,56.4,305.7,375.2
2009,26,381.9,0,24.33,30.3,355.3,366.0
2010,25,350.8,1,23.94,15.0,355.6,381.9
2011,25,493.4,0,22.86,81.3,377.4,350.8
2012,25,505.7,0,23.69,52.4,449.3,493.4
2013,25,434.1,0,23.78,31.1,408.6,505.7
2014,25,459.4,0,23.58,97.7,361.5,434.1
2015,25,423.7,1,26.29,13.1,359.1,459.4
2016,26,447.5,3,26.5,11.5,314.7,423.7
2017,25,355.3,3,24.7,56.3,152.8,447.5
2018,27,336.2,1,24.36,76.5,487.3,355.3
2019,25,504.9,1,23.89,98.1,346.0,336.2
2020,25,422.6,3,23.83,28.0,469.5,504.9
2021,25,403.2,0,23.19,51.2,315.0,422.6
2022,25,480.0,0,,114.3,309.5,403.2
2023,25,559.1,0,,3.4,341.3,480.0
